17/8/2013
17/8/2013,Arsenal,Aston Villa
17/8/2013,Chelsea,Hull City
17/8/2013,Crystal Palace,Tottenham Hotspur
17/8/2013,Liverpool,Stoke City
17/8/2013,Manchester City,Newcastle United
17/8/2013,Norwich City,Everton
17/8/2013,Sunderland,Fulham
17/8/2013,Swansea City,Manchester United
17/8/2013,West Bromwich Albion,Southampton
17/8/2013,West Ham United,Cardiff City
24/8/2013
24/8/2013,Aston Villa,Liverpool
24/8/2013,Cardiff City,Manchester City
24/8/2013,Everton,West Bromwich Albion
24/8/2013,Fulham,Arsenal
24/8/2013,Hull City,Norwich City
24/8/2013,Manchester United,Chelsea
24/8/2013,Newcastle United,West Ham United
24/8/2013,Southampton,Sunderland
24/8/2013,Stoke City,Crystal Palace
24/8/2013,Tottenham Hotspur,Swansea City
31/8/2013
31/8/2013,Arsenal,Tottenham Hotspur
31/8/2013,Cardiff City,Everton
31/8/2013,Chelsea,Aston Villa
31/8/2013,Crystal Palace,Sunderland
31/8/2013,Liverpool,Manchester United
31/8/2013,Manchester City,Hull City
31/8/2013,Newcastle United,Fulham
31/8/2013,Norwich City,Southampton
31/8/2013,West Bromwich Albion,Swansea City
31/8/2013,West Ham United,Stoke City
14/9/2013
14/9/2013,Aston Villa,Newcastle United
14/9/2013,Everton,Chelsea
14/9/2013,Fulham,West Bromwich Albion
14/9/2013,Hull City,Cardiff City
14/9/2013,Manchester United,Crystal Palace
14/9/2013,Southampton,West Ham United
14/9/2013,Stoke City,Manchester City
14/9/2013,Sunderland,Arsenal
14/9/2013,Swansea City,Liverpool
14/9/2013,Tottenham Hotspur,Norwich City
21/9/2013
21/9/2013,Arsenal,Stoke City
21/9/2013,Cardiff City,Tottenham Hotspur
21/9/2013,Chelsea,Fulham
21/9/2013,Crystal Palace,Swansea City
21/9/2013,Liverpool,Southampton
21/9/2013,Manchester City,Manchester United
21/9/2013,Newcastle United,Hull City
21/9/2013,Norwich City,Aston Villa
21/9/2013,West Bromwich Albion,Sunderland
21/9/2013,West Ham United,Everton
28/9/2013
28/9/2013,Aston Villa,Manchester City
28/9/2013,Everton,Newcastle United
28/9/2013,Fulham,Cardiff City
28/9/2013,Hull City,West Ham United
28/9/2013,Manchester United,West Bromwich Albion
28/9/2013,Southampton,Crystal Palace
28/9/2013,Stoke City,Norwich City
28/9/2013,Sunderland,Liverpool
28/9/2013,Swansea City,Arsenal
28/9/2013,Tottenham Hotspur,Chelsea
5/10/2013
5/10/2013,Cardiff City,Newcastle United
5/10/2013,Fulham,Stoke City
5/10/2013,Hull City,Aston Villa
5/10/2013,Liverpool,Crystal Palace
5/10/2013,Manchester City,Everton
5/10/2013,Norwich City,Chelsea
5/10/2013,Southampton,Swansea City
5/10/2013,Sunderland,Manchester United
5/10/2013,Tottenham Hotspur,West Ham United
5/10/2013,West Bromwich Albion,Arsenal
19/10/2013
19/10/2013,Arsenal,Norwich City
19/10/2013,Aston Villa,Tottenham Hotspur
19/10/2013,Chelsea,Cardiff City
19/10/2013,Crystal Palace,Fulham
19/10/2013,Everton,Hull City
19/10/2013,Manchester United,Southampton
19/10/2013,Newcastle United,Liverpool
19/10/2013,Stoke City,West Bromwich Albion
19/10/2013,Swansea City,Sunderland
19/10/2013,West Ham United,Manchester City
26/10/2013
26/10/2013,Aston Villa,Everton
26/10/2013,Chelsea,Manchester City
26/10/2013,Crystal Palace,Arsenal
26/10/2013,Liverpool,West Bromwich Albion
26/10/2013,Manchester United,Stoke City
26/10/2013,Norwich City,Cardiff City
26/10/2013,Southampton,Fulham
26/10/2013,Sunderland,Newcastle United
26/10/2013,Swansea City,West Ham United
26/10/2013,Tottenham Hotspur,Hull City
2/11/2013
2/11/2013,Arsenal,Liverpool
2/11/2013,Cardiff City,Swansea City
2/11/2013,Everton,Tottenham Hotspur
2/11/2013,Fulham,Manchester United
2/11/2013,Hull City,Sunderland
2/11/2013,Manchester City,Norwich City
2/11/2013,Newcastle United,Chelsea
2/11/2013,Stoke City,Southampton
2/11/2013,West Bromwich Albion,Crystal Palace
2/11/2013,West Ham United,Aston Villa
9/11/2013
9/11/2013,Aston Villa,Cardiff City
9/11/2013,Chelsea,West Bromwich Albion
9/11/2013,Crystal Palace,Everton
9/11/2013,Liverpool,Fulham
9/11/2013,Manchester United,Arsenal
9/11/2013,Norwich City,West Ham United
9/11/2013,Southampton,Hull City
9/11/2013,Sunderland,Manchester City
9/11/2013,Swansea City,Stoke City
9/11/2013,Tottenham Hotspur,Newcastle United
23/11/2013
23/11/2013,Arsenal,Southampton
23/11/2013,Cardiff City,Manchester United
23/11/2013,Everton,Liverpool
23/11/2013,Fulham,Swansea City
23/11/2013,Hull City,Crystal Palace
23/11/2013,Manchester City,Tottenham Hotspur
23/11/2013,Newcastle United,Norwich City
23/11/2013,Stoke City,Sunderland
23/11/2013,West Bromwich Albion,Aston Villa
23/11/2013,West Ham United,Chelsea
30/11/2013
30/11/2013,Aston Villa,Sunderland
30/11/2013,Cardiff City,Arsenal
30/11/2013,Chelsea,Southampton
30/11/2013,Everton,Stoke City
30/11/2013,Hull City,Liverpool
30/11/2013,Manchester City,Swansea City
30/11/2013,Newcastle United,West Bromwich Albion
30/11/2013,Norwich City,Crystal Palace
30/11/2013,Tottenham Hotspur,Manchester United
30/11/2013,West Ham United,Fulham
3/12/2013
3/12/2013,Arsenal,Hull City
3/12/2013,Crystal Palace,West Ham United
3/12/2013,Liverpool,Norwich City
3/12/2013,Manchester United,Everton
3/12/2013,Southampton,Aston Villa
3/12/2013,Stoke City,Cardiff City
3/12/2013,Sunderland,Chelsea
3/12/2013,Swansea City,Newcastle United
3/12/2013,West Bromwich Albion,Manchester City
4/12/2013
4/12/2013,Fulham,Tottenham Hotspur
7/12/2013
7/12/2013,Arsenal,Everton
7/12/2013,Crystal Palace,Cardiff City
7/12/2013,Fulham,Aston Villa
7/12/2013,Liverpool,West Ham United
7/12/2013,Manchester United,Newcastle United
7/12/2013,Southampton,Manchester City
7/12/2013,Stoke City,Chelsea
