8/3/2014,Hannover 96,Leverkusen
8/3/2014,VfL Wolfsburg,Bayern Munich
8/3/2014,Schalke 04,Hoffenheim
8/3/2014,Mönchengladbach,Augsburg
8/3/2014,Hamburg,Eintracht Frankfurt
8/3/2014,Stuttgart,Braunschweig
8/3/2014,Nürnberg,Werder Bremen
9/3/2014,Freiburg,Borussia Dortmund
9/3/2014,Mainz,Hertha BSC
14/3/2014,Augsburg,Schalke 04
15/3/2014,Braunschweig,VfL Wolfsburg
15/3/2014,Borussia Dortmund,Mönchengladbach
15/3/2014,Hertha BSC,Hannover 96
15/3/2014,Werder Bremen,Stuttgart
15/3/2014,Hoffenheim,Mainz
15/3/2014,Bayern Munich,Leverkusen
16/3/2014,Hamburg,Nürnberg
16/3/2014,Eintracht Frankfurt,Freiburg
21/3/2014,Freiburg,Werder Bremen
22/3/2014,Hannover 96,Borussia Dortmund
22/3/2014,VfL Wolfsburg,Augsburg
22/3/2014,Schalke 04,Braunschweig
22/3/2014,Mainz,Bayern Munich
22/3/2014,Stuttgart,Hamburg
22/3/2014,Mönchengladbach,Hertha BSC
23/3/2014,Nürnberg,Eintracht Frankfurt
23/3/2014,Leverkusen,Hoffenheim
25/3/2014,Werder Bremen,VfL Wolfsburg
25/3/2014,Braunschweig,Mainz
25/3/2014,Hertha BSC,Bayern Munich
25/3/2014,Borussia Dortmund,Schalke 04
26/3/2014,Nürnberg,Stuttgart
26/3/2014,Eintracht Frankfurt,Mönchengladbach
26/3/2014,Hoffenheim,Hannover 96
26/3/2014,Augsburg,Leverkusen
26/3/2014,Hamburg,Freiburg
28/3/2014,Schalke 04,Hertha BSC
29/3/2014,Leverkusen,Braunschweig
29/3/2014,Stuttgart,Borussia Dortmund
29/3/2014,VfL Wolfsburg,Eintracht Frankfurt
29/3/2014,Bayern Munich,Hoffenheim
29/3/2014,Mainz,Augsburg
29/3/2014,Freiburg,Nürnberg
30/3/2014,Mönchengladbach,Hamburg
30/3/2014,Hannover 96,Werder Bremen
5/4/2014,Eintracht Frankfurt,Mainz
5/4/2014,Stuttgart,Freiburg
5/4/2014,Hertha BSC,Hoffenheim
5/4/2014,Werder Bremen,Schalke 04
5/4/2014,Nürnberg,Mönchengladbach
5/4/2014,Augsburg,Bayern Munich
5/4/2014,Hamburg,Leverkusen
5/4/2014,Braunschweig,Hannover 96
5/4/2014,Borussia Dortmund,VfL Wolfsburg
12/4/2014,Hannover 96,Hamburg
12/4/2014,VfL Wolfsburg,Nürnberg
12/4/2014,Hoffenheim,Augsburg
12/4/2014,Bayern Munich,Borussia Dortmund
12/4/2014,Freiburg,Braunschweig
12/4/2014,Schalke 04,Eintracht Frankfurt
12/4/2014,Mainz,Werder Bremen
12/4/2014,Mönchengladbach,Stuttgart
12/4/2014,Leverkusen,Hertha BSC
19/4/2014,Eintracht Frankfurt,Hannover 96
19/4/2014,Werder Bremen,Hoffenheim
19/4/2014,Nürnberg,Leverkusen
19/4/2014,Freiburg,Mönchengladbach
19/4/2014,Augsburg,Hertha BSC
19/4/2014,Hamburg,VfL Wolfsburg
19/4/2014,Borussia Dortmund,Mainz
19/4/2014,Braunschweig,Bayern Munich
19/4/2014,Stuttgart,Schalke 04
26/4/2014,Hoffenheim,Eintracht Frankfurt
26/4/2014,Mainz,Nürnberg
26/4/2014,Bayern Munich,Werder Bremen
26/4/2014,Augsburg,Hamburg
26/4/2014,Schalke 04,Mönchengladbach
26/4/2014,Hertha BSC,Braunschweig
26/4/2014,Leverkusen,Borussia Dortmund
26/4/2014,Hannover 96,Stuttgart
26/4/2014,VfL Wolfsburg,Freiburg
3/5/2014,Werder Bremen,Hertha BSC
3/5/2014,Nürnberg,Hannover 96
3/5/2014,Freiburg,Schalke 04
3/5/2014,Hamburg,Bayern Munich
3/5/2014,Borussia Dortmund,Hoffenheim
3/5/2014,Braunschweig,Augsburg
3/5/2014,Mönchengladbach,Mainz
3/5/2014,Eintracht Frankfurt,Leverkusen
3/5/2014,Stuttgart,VfL Wolfsburg
10/5/2014,Bayern Munich,Stuttgart
10/5/2014,Augsburg,Eintracht Frankfurt
10/5/2014,Schalke 04,Nürnberg
10/5/2014,Hertha BSC,Borussia Dortmund
10/5/2014,Leverkusen,Werder Bremen
10/5/2014,Hannover 96,Freiburg
10/5/2014,VfL Wolfsburg,Mönchengladbach
10/5/2014,Hoffenheim,Braunschweig
10/5/2014,Mainz,Hamburg
